,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
232,Demarcus Robinson,KAN,27,wr,1,1,2,1,50.0%,9,9.0,0,0,9,4.5,1.0,9.0,0
233,Amari Rodgers,GNB,22,,1,0,1,1,100.0%,19,19.0,0,1,19,19.0,1.0,19.0,0
234,Mohamed Sanu,SFO,32,,1,0,1,1,100.0%,7,7.0,0,1,7,7.0,1.0,7.0,0
235,Eric Saubert,DEN,27,,1,0,2,1,50.0%,7,7.0,0,0,7,3.5,1.0,7.0,0
236,Ricky Seals-Jones,WAS,26,,2,0,1,1,100.0%,19,19.0,1,1,19,19.0,0.5,9.5,0
237,Cam Sims,WAS,25,,2,0,1,1,100.0%,17,17.0,0,1,17,17.0,0.5,8.5,0
238,Durham Smythe,MIA,26,te,1,1,2,1,50.0%,9,9.0,0,1,9,4.5,1.0,9.0,0
239,Rhamondre Stevenson,NWE,23,,1,0,1,1,100.0%,9,9.0,0,0,9,9.0,1.0,9.0,1
240,Courtland Sutton,DEN,26,wr,1,1,3,1,33.3%,14,14.0,0,1,14,4.7,1.0,14.0,0
241,Ian Thomas,CAR,25,te,1,1,2,1,50.0%,17,17.0,0,1,17,8.5,1.0,17.0,0
242,Mike Thomas,CIN,27,,1,0,3,1,33.3%,5,5.0,0,0,5,1.7,1.0,5.0,0
243,Dede Westbrook,MIN,28,,1,0,1,1,100.0%,11,11.0,0,0,11,11.0,1.0,11.0,0
244,Nick Westbrook-Ikhine,TEN,24,,1,0,2,1,50.0%,10,10.0,0,1,10,5.0,1.0,10.0,0
245,Javonte Williams,DEN,21,,1,0,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,1.0,-4.0,0
