entry_id,contest_id,contest_name,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"2579332778","64523-249008707","$2K Sat MLB Bunt (Single Entry)","64523-101804","64523-49523","64523-13378","64523-61553","64523-60672","64523-82536","64523-79082","64523-53401","64523-11334","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","","","","",64523-158131:Tyler Gilbert,64523-158131,P,Tyler,Tyler Gilbert,Gilbert,19.22222222222222,9,6800,LAD@ARI,ARI,LAD,IL,Elbow,,,,P
"","","","","","","","","","","","","",64523-23089:Dallas Keuchel,64523-23089,P,Dallas,Dallas Keuchel,Keuchel,18.633333333333333,30,6800,CWS@CLE,CWS,CLE,,,,,,P
"","","","","","","","","","","","","",64523-82582:Griffin Canning,64523-82582,P,Griffin,Griffin Canning,Canning,18.6875,16,6800,SEA@LAA,LAA,SEA,IL,Back,,,,P
"","","","","","","","","","","","","",64523-13268:Danny Duffy,64523-13268,P,Danny,Danny Duffy,Duffy,28.23076923076923,13,6800,LAD@ARI,LAD,ARI,IL,Forearm,,,,P
"","","","","","","","","","","","","",64523-52194:Aaron Sanchez,64523-52194,P,Aaron,Aaron Sanchez,Sanchez,17.11111111111111,9,6800,SF@COL,SF,COL,,,,,,P
"","","","","","","","","","","","","",64523-60656:Jeff Hoffman,64523-60656,P,Jeff,Jeff Hoffman,Hoffman,11.892857142857142,28,6800,WSH@CIN,CIN,WSH,,,,,,P
"","","","","","","","","","","","","",64523-5784:David Price,64523-5784,P,David,David Price,Price,8.916666666666666,36,6800,LAD@ARI,LAD,ARI,,,,,,P
"","","","","","","","","","","","","",64523-12455:Josh Tomlin,64523-12455,P,Josh,Josh Tomlin,Tomlin,4.861111111111111,36,6700,ATL@SD,ATL,SD,IL,Neck,,,,P
"","","","","","","","","","","","","",64523-102566:A.J. Alexy,64523-102566,P,A.J.,A.J. Alexy,Alexy,21.25,4,6700,TEX@BAL,TEX,BAL,,,,,,P
"","","","","","","","","","","","","",64523-79085:Keegan Akin,64523-79085,P,Keegan,Keegan Akin,Akin,14.208333333333334,24,6700,TEX@BAL,BAL,TEX,IL,Abdomen,,,,P
"","","","","","","","","","","","","",64523-79107:Vladimir Gutierrez,64523-79107,P,Vladimir,Vladimir Gutierrez,Gutierrez,24.714285714285715,21,6700,WSH@CIN,CIN,WSH,,,,Yes,,P
"","","","","","","","","","","","","",64523-38214:Andrew Albers,64523-38214,P,Andrew,Andrew Albers,Albers,10.2,5,6700,TOR@MIN,MIN,TOR,,,,,,P
"","","","","","","","","","","","","",64523-60632:Kyle Freeland,64523-60632,P,Kyle,Kyle Freeland,Freeland,23.041666666666668,24,6600,SF@COL,COL,SF,,,,,,P
"","","","","","","","","","","","","",64523-79259:Jake Faria,64523-79259,P,Jake,Jake Faria,Faria,5.583333333333333,24,6600,LAD@ARI,ARI,LAD,,,,,,P
"","","","","","","","","","","","","",64523-13727:Josh Lindblom,64523-13727,P,Josh,Josh Lindblom,Lindblom,5.875,8,6600,NYM@MIL,MIL,NYM,,,,,,P
"","","","","","","","","","","","","",64523-102355:Jorge Alcala,64523-102355,P,Jorge,Jorge Alcala,Alcala,4.946428571428571,56,6600,TOR@MIN,MIN,TOR,,,,,,P
"","","","","","","","","","","","","",64523-38146:Sean Nolin,64523-38146,P,Sean,Sean Nolin,Nolin,14.166666666666666,6,6500,WSH@CIN,WSH,CIN,,,,,,P
"","","","","","","","","","","","","",64523-12934:Tyler Chatwood,64523-12934,P,Tyler,Tyler Chatwood,Chatwood,4.875,32,6400,SF@COL,SF,COL,IL,Undisclosed,,,,P
"","","","","","","","","","","","","",64523-82636:Joey Lucchesi,64523-82636,P,Joey,Joey Lucchesi,Lucchesi,17,11,6400,NYM@MIL,NYM,MIL,IL,Elbow,,,,P
"","","","","","","","","","","","","",64523-146130:Kohei Arihara,64523-146130,P,Kohei,Kohei Arihara,Arihara,11.6,10,6400,TEX@BAL,TEX,BAL,,,,,,P
"","","","","","","","","","","","","",64523-12306:Jake Arrieta,64523-12306,P,Jake,Jake Arrieta,Arrieta,13.92,25,6300,ATL@SD,SD,ATL,DTD,Groin,,,,P
"","","","","","","","","","","","","",64523-102447:Dean Kremer,64523-102447,P,Dean,Dean Kremer,Kremer,13.461538461538462,13,6300,TEX@BAL,BAL,TEX,,,,,,P
"","","","","","","","","","","","","",64523-102530:Spencer Howard,64523-102530,P,Spencer,Spencer Howard,Howard,10,18,6300,TEX@BAL,TEX,BAL,,,,,,P
"","","","","","","","","","","","","",64523-79076:Kolby Allard,64523-79076,P,Kolby,Kolby Allard,Allard,16.620689655172413,29,6300,TEX@BAL,TEX,BAL,,,,,,P
"","","","","","","","","","","","","",64523-161167:Glenn Otto,64523-161167,P,Glenn,Glenn Otto,Otto,17,5,6300,TEX@BAL,TEX,BAL,,,,,,P
"","","","","","","","","","","","","",64523-62872:Vince Velasquez,64523-62872,P,Vince,Vince Velasquez,Velasquez,15.958333333333334,24,6300,ATL@SD,SD,ATL,,,,,,P
